Domain,CountryCode,BackLinks_primevideo.com,BackLinks_tv.apple.com,BackLinks_max.com
burlingtonfreepress.com,US,0,2,2
sunherald.com,US,0,36,2
aptoide.com,IE,30,0,13
tcpalm.com,US,2,5,4
fansided.com,US,37,29,4
cosmosmagazine.com,US,3,11,0
thewindowsclub.com,US,3,2,0
news-press.com,US,2,5,2
cbs8.com,US,0,11,1
midilibre.fr,FR,0,5,1
kansas.com,US,0,7,11
preply.com,US,3,3,0
silive.com,EU,0,7,10
tallahassee.com,US,2,7,1
click2houston.com,US,6,14,5
nbcsandiego.com,US,2,6,4
hollywoodlife.com,CA,3,10,3
nbcbayarea.com,EU,2,3,1
nbclosangeles.com,US,0,5,6
ivoox.com,ES,0,3,1
pymnts.com,US,15,11,16
indiewire.com,CA,0,8,6
huffingtonpost.co.uk,US,0,18,102
people.com,US,9,150,262
wikihow.com,US,9,2,11
businessinsider.com,US,13,0,17
sony.nl,EU,110,4,0
lahora.cl,US,6,0,3
lexblog.com,US,0,2,2
buffed.de,DE,5,4,0
programme-television.org,FR,2680,98,0
nationmedia.com,IE,2,2,0
gameblog.fr,US,9,2,5
familie.de,DE,20,46,1
tvblog.it,US,363,51,2
airdroid.com,US,6,0,3
heraldtimesonline.com,US,20,16,8
tvmaze.com,DE,136,133,105
fernsehserien.de,DE,55,21227,22
frandroid.com,FR,11,2,2
sctimes.com,SE,0,9,2
nwfdailynews.com,US,2,7,1
gala.de,US,13,0,1
wamc.org,US,0,9,8
fashionmagazine.com,US,5,6,0
metrowestdailynews.com,US,0,4,1
fixthephoto.com,US,2,2,0
tri-cityherald.com,US,0,28,5
courierpress.com,US,22,17,12
centredaily.com,US,0,32,5
pantagraph.com,US,0,2,1
abc3340.com,US,0,7,1
wkbw.com,US,2,3,2
idownloadblog.com,US,2,106,9
femmeactuelle.fr,US,19,2,0
cantonrep.com,US,0,3,2
kcur.org,US,0,13,2
gainesville.com,CA,2,7,1
movavi.com,DE,0,11,2
news5cleveland.com,US,0,2,3
laptopmag.com,US,0,54,2
katu.com,US,2,11,1
out.com,UK,5,26,115
abcactionnews.com,US,2,8,0
filmaffinity.com,US,826,682,18
wjla.com,US,0,10,1
11alive.com,EU,0,5,1
nbcwashington.com,US,0,3,4
uptodown.com,US,14,0,19
nbcchicago.com,US,3,6,6
notion.site,US,2,6,1
filmladder.nl,NL,8,2,0
thepublicopinion.com,SE,0,9,1
want.nl,US,42,3,0
mountainfilm.org,US,3,145,8
sony.it,US,489,36,0
annabelle.ch,US,4,2,0
bright.nl,US,39,53,0
sparebank1.no,NO,12,0,12
dobreprogramy.pl,PL,4,0,2
firesticktricks.com,US,5,0,5
newsblur.com,US,0,136,36
benchmark.pl,PL,15,0,1
wunschliste.de,DE,3,2189,11
shiftdelete.net,US,6,0,1
kunc.org,US,0,3,1
footmercato.net,UK,9,4,1
norwichbulletin.com,US,0,2,1
coolmaterial.com,US,0,33,1
hwupgrade.it,IT,8,2,0
winteriscoming.net,US,0,3,10
pghcitypaper.com,US,0,10,6
poconorecord.com,SE,2,2,2
capecodtimes.com,US,0,2,1
thethaiger.com,US,3,0,9
tz.de,DE,15,0,16
kstp.com,US,0,4,3
transistor.fm,US,5,11,1
geni.us,US,4,810,2
abc15.com,US,0,3,1
komonews.com,US,0,9,1
nbcdfw.com,US,0,4,9
wondershare.com,CN,17,3,3
eldiario.es,IE,24,3,3
indo.fr,FR,214,24,0
bokt.nl,IR,2,0,1
antyradio.pl,PL,3,0,6
nywift.org,US,0,8,3
joannenova.com.au,US,7,2,0
tmnews.com,SE,23,17,13
kunm.org,US,2,8,9
citizenside.com,US,3,0,1
bug.hr,NL,3,0,2
fok.nl,US,21607,21,92
villa-albertine.org,US,0,25,2
themovieblog.com,US,13,17,3
iclarified.com,US,0,9,3
dgabc.com.br,BR,19,12,0
port.hu,HU,2,0,3
boulderweekly.com,US,0,2,1
wvtf.org,US,0,5,9
gaming-age.com,US,5,3,0
bookreporter.com,US,2,146,29
uscatholic.org,US,0,5,1
ebar.com,US,0,9,8
islandpacket.com,US,0,13,3
palmbeachdailynews.com,US,2,6,2
kesq.com,US,2,23,13
bigsoccer.com,US,0,102,1
wsbt.com,US,0,9,1
vanguardia.com.mx,US,8,2,3
keyt.com,US,2,19,14
kvia.com,US,0,10,6
elconfidencialdigital.com,US,6,2,0
wowt.com,US,0,2,1
theolympian.com,US,0,24,3
ktvz.com,US,0,22,17
pnj.com,US,3,10,1
thespec.com,US,12,2,0
10news.com,US,0,4,1
local10.com,US,0,27,7
viglink.com,US,2,0,1
kompas.com,US,2,0,1
tvtropes.org,US,3,2,2
mailerlite.com,US,30,6,0
acast.com,KR,7,5,0
bostonglobe.com,NL,0,15,3
egofm.de,US,3,118,0
nostalgie.be,FR,10,0,2
ze.nl,NL,3,3,22
nuevoestilo.es,US,86,3,0
i-d.co,US,0,8,1
die-glocke.de,DE,2,2,0
2ser.com,US,16,33,0
wcny.org,US,2,5307,0
tdstelecom.com,US,0,10,26
bg.ru,CA,5,6,1
cineman.ch,US,67,204,0
aseannow.com,US,2,4,4
kbia.org,US,0,11,9
diaridegirona.cat,ES,2,0,1
filmweb.no,DK,5259,1143,2119
thestarpress.com,SE,22,16,27
wshu.org,US,0,2,2
heraldsun.com,US,2,12,12
ellecanada.com,US,12,16,0
fireside.fm,US,0,30,1
iowapublicradio.org,US,0,11,13
blackamericaweb.com,US,6,7,1
wfae.org,US,0,18,16
allaccess.com,US,0,2,2
gestion.pe,EU,35,83,23
ledger-enquirer.com,US,0,52,5
bnd.com,US,0,29,6
wunc.org,US,0,11,12
portsmouth.co.uk,US,3,2,0
wlrn.org,US,0,764,8
macon.com,US,0,50,3
vancouverisawesome.com,US,3,3,1
exclaim.ca,US,18,41,2
sanluisobispo.com,US,0,18,14
whas11.com,US,0,12,1
nhpr.org,US,0,4,6
wwltv.com,US,0,5,1
vogue.in,US,7,14,0
rss.com,US,2,21,1
themoviedb.org,US,100,151,73
thepinknews.com,US,6,24,5
nbcmiami.com,NL,2,7,8
actu.fr,US,22,0,2
simplecast.com,CA,0,23,1
omny.fm,US,4,4,1
pixnet.net,TW,14,2,1
vox.com,US,0,76,6
samsungtechwin.com,UK,0,2,2
kzyx.org,US,0,14,12
allesoverfilm.nl,NL,56,6,0
wawanesa.com,US,0,2,2
kaxe.org,US,0,13,10
kcsm.org,US,0,3,9
scientology.tv,US,97,1814,0
wvia.org,US,0,6295,5
elotrolado.net,ES,1315,0,2
femina.fr,US,32,0,3
jenesaispop.com,UK,11,6,0
kansaspublicradio.org,US,0,3,6
sff.org.au,US,3,13,0
lpb.org,US,7,6814,0
wfdd.org,US,0,11,10
antyweb.pl,US,20,18,1
ukiahdailyjournal.com,US,0,2,1
3djuegos.com,US,123,0,49
prairiepublic.org,US,0,3955,7
ldnews.com,US,0,2,1
the-daily-record.com,SE,2,4,0
publimetro.cl,US,4,0,1
sentinelandenterprise.com,US,3,4,1
boards.ie,US,11,3,0
bolsamania.com,US,23,4,0
omelete.com.br,BR,673,12030,5
moneytalksnews.com,US,3,14,12
elsiglodetorreon.com.mx,US,0,4,1
wchstv.com,US,0,9,1
ctpublic.org,US,0,15,13
herald-review.com,US,0,5,1
lex18.com,US,0,2,1
ocala.com,US,0,7,1
lindependant.fr,FR,5,5,1
dennikn.sk,US,2,4,3
bradenton.com,US,0,35,9
remezcla.com,US,5,9,11
wkyt.com,EU,0,3,2
fourfourtwo.com,US,3,50,0
wgrz.com,US,0,4,2
houstonpublicmedia.org,US,9,8758,9
kutv.com,US,0,8,1
yardbarker.com,US,3,57,8
axios.com,US,16,94,80
macworld.se,DE,11,206,0
vkmag.com,GR,70,0,6
freenews.fr,US,4,2,0
metroworldnews.com,EU,7,2,4
telesatellite.com,FR,2,0,1
transat.com,US,35,22,0
wcbe.org,US,0,5,1
wmot.org,US,0,9,7
startsiden.no,NO,43,34,5
reporter-times.com,US,16,16,12
wizard.com.br,BR,6,0,2
thewom.it,IE,63,3,0
universfreebox.com,FR,36,0,4
cineblog.it,US,32,3,0
celebitchy.com,US,0,8,4
ivacy.com,US,53,3,65
tomsguide.fr,US,20,3,2
elperiodico.cat,US,15,0,1
aberdeennews.com,US,0,9,1
kmuw.org,US,0,11,8
horrornews.net,US,7,13,0
wypr.org,US,0,19,15
thecoast.ca,US,6,7,0
visaliatimesdelta.com,US,0,10,2
kinolorber.com,US,2,227,0
montevideo.com.uy,US,165,0,70
wjct.org,US,0,19,10
soundandvision.com,US,7,17,7
mtpr.org,US,2,2,1
hotpress.com,US,2,2,0
morningjournal.com,US,3,12,2
kjrh.com,US,3,2,3
staugustine.com,SE,2,7,2
news-herald.com,US,0,30,5
tpr.org,US,0,8,7
wlos.com,US,0,8,1
katv.com,US,0,9,1
turnto10.com,US,0,9,1
latercera.com,US,119,16,76
stylecaster.com,US,0,20,9
cincinnati.com,US,4,13,9
marca.com,UK,2,0,3
genius.com,US,3,2,2
hatenablog.com,JP,8,17,1
vice.com,US,4,6,7
streamfreak.nl,NL,69224,65210,11
khsu.org,US,0,14,12
infinita.cl,CL,7,5,0
wdiy.org,US,0,6,1
gsplus.hu,HU,27,0,42
innnews.co.th,US,3,0,1
flatpanels.dk,US,11,184,16
warnerbros.it,US,125,104,0
momadvice.com,US,0,14,7
catholicmom.com,CA,0,9,1
ispazio.net,US,4,55,0
nhle.com,US,16,0,1
sweclockers.com,SE,4,4,3
hppr.org,US,0,12,11
nasioc.com,US,0,2,1
waer.org,US,0,13,9
daily-jeff.com,SE,2,0,1
apr.org,US,0,10,16
kvpr.org,US,0,15,17
wyso.org,US,2,9,11
01net.it,US,12,2,0
mercubuana.ac.id,US,4,4,0
slugmag.com,US,0,17,2
dailycommercial.com,US,0,9,1
thecalifornian.com,US,0,9,1
hdblog.it,US,88,10,0
lavozdeasturias.es,US,79,0,2
richmond-news.com,US,3,0,1
cepro.com,US,0,3,2
animesuperhero.com,US,9,5,16
thenewsherald.com,US,0,4,1
